check_id,优先主题,文档名称,文档类型,颗粒度,sku_id,品牌,类目,区域,真实来源,owner,格式,关键字段,风险级别,状态,刷新频率,上线边界,source_type
CHK0001,电压/频率/插头兼容,De'Longhi_DELO-Bean-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DELO-Bean-US,De'Longhi,全自动/半自动咖啡机,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0002,安装条件,De'Longhi_DELO-Bean-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-DELO-Bean-US,De'Longhi,全自动/半自动咖啡机,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0003,电压/频率/插头兼容,De'Longhi_DELO-Steam-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DELO-Steam-EU,De'Longhi,全自动/半自动咖啡机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0004,安装条件,De'Longhi_DELO-Steam-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-DELO-Steam-EU,De'Longhi,全自动/半自动咖啡机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0005,电压/频率/插头兼容,De'Longhi_DELO-Caps-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DELO-Caps-UK,De'Longhi,全自动/半自动咖啡机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0006,安装条件,De'Longhi_DELO-Caps-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-DELO-Caps-UK,De'Longhi,全自动/半自动咖啡机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0007,电压/频率/插头兼容,Jura_JURA-Bean-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-JURA-Bean-US,Jura,全自动/半自动咖啡机,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0008,安装条件,Jura_JURA-Bean-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-JURA-Bean-US,Jura,全自动/半自动咖啡机,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0009,电压/频率/插头兼容,Jura_JURA-Steam-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-JURA-Steam-EU,Jura,全自动/半自动咖啡机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0010,安装条件,Jura_JURA-Steam-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-JURA-Steam-EU,Jura,全自动/半自动咖啡机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
