sku_id,brand_id,品牌,category_id,类目,型号,商品名,子类,品牌来源地,目标区域版,额定电压,额定频率,插头类型,功率W,认证标识,尺寸,安装/使用要求,风险级别,保修模式,保修备注,高频客服需求,高风险知识,必须RAG
SKU-DELO-Bean-US,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Bean-US-2027,全自动意式咖啡机,bean_to_cup,意大利,US,120V,60Hz,Type B,1450,UL/ETL,24x44x36cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-DELO-Steam-EU,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Steam-EU-2028,半自动奶泡咖啡机,semi_auto,意大利,EU,220-240V,50Hz,Type F,1350,CE,28x41x48cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-DELO-Caps-UK,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Caps-UK-2029,胶囊咖啡机,capsule,意大利,UK,220-240V,50Hz,Type G,1260,UKCA/CE,12x28x34cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-JURA-Bean-US,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Bean-US-2027,全自动意式咖啡机,bean_to_cup,瑞士,US,120V,60Hz,Type B,1450,UL/ETL,24x44x36cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-JURA-Steam-EU,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Steam-EU-2028,半自动奶泡咖啡机,semi_auto,瑞士,EU,220-240V,50Hz,Type F,1350,CE,28x41x48cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-JURA-Caps-UK,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Caps-UK-2029,胶囊咖啡机,capsule,瑞士,UK,220-240V,50Hz,Type G,1260,UKCA/CE,12x28x34cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y
SKU-SMEG-Air-US,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Air-US-2027,空气炸烤箱,airfryer_oven,意大利,US,120V,60Hz,Type B,1800,UL/ETL,46x38x41cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-SMEG-Steam-EU,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Steam-EU-2028,台式蒸烤一体机,steam_oven,意大利,EU,220-240V,50Hz,Type F,1750,CE,50x43x46cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-SMEG-Toast-UK,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Toast-UK-2029,多功能烤面包烤箱,toaster_oven,意大利,UK,220-240V,50Hz,Type G,1600,UKCA/CE,40x33x29cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-BREV-Air-US,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Air-US-2027,空气炸烤箱,airfryer_oven,澳大利亚,US,120V,60Hz,Type B,1800,UL/ETL,46x38x41cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-BREV-Steam-UK,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Steam-UK-2028,台式蒸烤一体机,steam_oven,澳大利亚,UK,220-240V,50Hz,Type G,1750,UKCA/CE,50x43x46cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-BREV-Toast-AU,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Toast-AU-2029,多功能烤面包烤箱,toaster_oven,澳大利亚,AU,220-240V,50Hz,Type I,1600,RCM,40x33x29cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y
SKU-BOSC-DW60-US,BR05,Bosch,CAT03,洗碗机,BOSC-DW60-US-2027,60cm嵌入式洗碗机,dishwasher_60,德国,US,120V,60Hz,Type B,1800,UL/ETL,59.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-BOSC-DW45-EU,BR05,Bosch,CAT03,洗碗机,BOSC-DW45-EU-2028,45cm窄体洗碗机,dishwasher_45,德国,EU,220-240V,50Hz,Type F,1500,CE,44.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-BOSC-DFS-UK,BR05,Bosch,CAT03,洗碗机,BOSC-DFS-UK-2029,独立式洗碗机,dishwasher_free,德国,UK,220-240V,50Hz,Type G,1800,UKCA/CE,60x85x60cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-MIEL-DW60-US,BR06,Miele,CAT03,洗碗机,MIEL-DW60-US-2027,60cm嵌入式洗碗机,dishwasher_60,德国,US,120V,60Hz,Type B,1800,UL/ETL,59.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-MIEL-DW45-EU,BR06,Miele,CAT03,洗碗机,MIEL-DW45-EU-2028,45cm窄体洗碗机,dishwasher_45,德国,EU,220-240V,50Hz,Type F,1500,CE,44.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-MIEL-DFS-UK,BR06,Miele,CAT03,洗碗机,MIEL-DFS-UK-2029,独立式洗碗机,dishwasher_free,德国,UK,220-240V,50Hz,Type G,1800,UKCA/CE,60x85x60cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y
SKU-LIEB-BFR-EU,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-BFR-EU-2027,下冷冻冰箱,bottom_freezer_fridge,德国,EU,220-240V,50Hz,Type F,180,CE,70x185x72cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-LIEB-FDR-UK,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-FDR-UK-2028,法式多门冰箱,french_door_fridge,德国,UK,220-240V,50Hz,Type G,250,UKCA/CE,90x178x75cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-LIEB-WCN-EU,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-WCN-EU-2029,恒温酒柜,wine_cooler,德国,EU,220-240V,50Hz,Type F,120,CE,60x82x58cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-FISH-BFR-US,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-BFR-US-2027,下冷冻冰箱,bottom_freezer_fridge,新西兰,US,120V,60Hz,Type B,180,UL/ETL,70x185x72cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-FISH-FDR-UK,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-FDR-UK-2028,法式多门冰箱,french_door_fridge,新西兰,UK,220-240V,50Hz,Type G,250,UKCA/CE,90x178x75cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-FISH-WCN-AU,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-WCN-AU-2029,恒温酒柜,wine_cooler,新西兰,AU,220-240V,50Hz,Type I,120,RCM,60x82x58cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y
SKU-AEG-WFL-EU,BR09,AEG,CAT05,洗衣机/烘干机,AEG-WFL-EU-2027,前开门洗衣机,front_loader,德国品牌,EU,220-240V,50Hz,Type F,2000,CE,60x85x60cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y
